,apparent_elevation,azimuth,ghi,dhi,efficiency,surface_fraction,efficiency_corrected
2020-09-12 17:30:00+00:00,3.707956677036208,271.7061355192244,9.069181837240349,7.349797993664875,0.0859375,0.05852913894174969,0.045616605017485656
2020-09-13 05:30:00+00:00,2.578107199241272,87.11517029800467,3.4833952139799447,3.0608090485154102,0.09375,0.03556730255797735,0.011615153578559525
2020-09-13 06:00:00+00:00,7.107549595675121,92.99001927698895,42.059349776341136,26.398010892540608,0.1484375,0.1308406921759982,0.816862611773194
2020-09-13 06:30:00+00:00,11.705061481116505,98.94422676382857,108.73177707906618,51.55085223899457,0.203125,0.2262278661671653,4.996500826110836
2020-09-13 07:00:00+00:00,16.249208831714654,105.05963081171564,184.83250873030158,70.93971106906994,0.171875,0.3188804289420194,10.130221348903582
2020-09-13 07:30:00+00:00,20.669753590471448,111.42138707131954,262.07800289943305,85.61933175067722,0.2578125,0.4069565858459957,27.496829581363865
2020-09-13 08:00:00+00:00,24.8996526724772,118.11728855262855,336.28502856457993,96.97263728592554,0.25,0.4888634998737042,41.09936900480228
2020-09-13 08:30:00+00:00,28.865887333224364,125.23483307496565,404.83504647548017,105.90312112267195,0.1953125,0.5631620227722215,44.5288522777769
2020-09-13 09:00:00+00:00,32.486217208914525,132.85454687235654,465.8424423866269,112.95731127310258,0.1875,0.6285610043125386,54.90194876961452
2020-09-13 09:30:00+00:00,35.66854410922897,141.0379882811426,517.8541736802453,118.46452057123524,0.234375,0.6839294665560012,83.00993642787394
2020-09-13 10:00:00+00:00,38.3133253463311,149.8098294248805,559.7320369719175,122.62431678691256,0.2109375,0.7283120797559884,85.99069770885136
2020-09-13 10:30:00+00:00,40.3202122794449,159.13645881028674,590.6047883815456,125.55727531963407,0.171875,0.7609437884307262,77.24355463281543
2020-09-13 11:00:00+00:00,41.599447129611676,168.90880851233285,609.8489906524178,127.33416873682108,0.2734375,0.7812620664759156,130.27981166904354
2020-09-13 11:30:00+00:00,42.086387661760575,178.94156039787617,617.0819676758018,127.99248969588854,0.2734375,0.7889161320053215,133.1164622454369
2020-09-13 12:00:00+00:00,41.754627482531575,188.99801624049067,612.1596290051604,127.54502713639003,0.1953125,0.7837727518715393,93.70977285352247
