,apparent_elevation,azimuth,ghi,dhi,efficiency,surface_fraction,efficiency_corrected
2020-01-31 15:00:00+01:00,15.628188400918628,211.9615886029429,217.24200233168634,50.60628082434863,0.1484375,0.8422723356507889,27.160637854702408
2020-01-31 15:30:00+01:00,12.93926787343078,218.79730240644642,166.39983637188809,44.05852640536284,0.1015625,0.7697726752744426,13.009145419686183
2020-01-31 16:00:00+01:00,9.833324317250192,225.3611402359936,109.62334817317681,34.91956456757062,0.078125,0.6849521201112291,5.866151933196006
2020-01-31 16:30:00+01:00,6.380308587409453,231.66646303853597,52.4149468348389,21.970912084349955,0.0,0.0,0.0
2020-01-31 17:00:00+01:00,2.690745249410746,237.74216901090784,9.020973796693566,5.731784523402082,0.0,0.0,0.0
2020-02-01 08:30:00+01:00,1.3868566597556347,119.84729175157776,2.118634886905483,1.602867119413066,0.0,0.0,0.0
2020-02-01 09:00:00+01:00,5.121634225949871,125.84430765178621,34.683521149912806,16.434285163139226,0.0,0.0,0.0
2020-02-01 09:30:00+01:00,8.702503451412367,132.05832088515928,90.01272297917872,30.976221132608245,0.1484375,0.6491119269848269,8.67295554107153
2020-02-01 10:00:00+01:00,11.969355301005594,138.52378563966397,148.4540449607199,41.310732877417095,0.09375,0.7384401699028593,10.277290329708817
2020-02-01 10:30:00+01:00,14.844871448656157,145.2611428273782,202.4335054364163,48.675678554746014,0.1484375,0.8160113824775654,24.520100374906615
2020-02-01 11:00:00+01:00,17.26551983730811,152.27281207154147,248.60784169064775,53.9907776415088,0.203125,0.8804398723084101,44.460864579824744
2020-02-01 11:30:00+01:00,19.17420671467553,159.5394897050894,285.13952146323896,57.75292843110503,0.15625,0.9305990391342669,41.46102573326482
2020-02-01 12:00:00+01:00,20.521855692035782,167.01815411506118,310.8964885421593,60.22430315897299,0.125,0.9656186841478778,37.52593227153446
2020-02-01 12:30:00+01:00,21.271114176569213,174.64330356018763,325.1830866374227,61.54058289181228,0.140625,0.9848930604577778,45.038048260420965
2020-02-01 13:00:00+01:00,21.400128755981513,182.33237493768567,327.6399445077728,61.763358956974514,0.203125,0.9880887309224713,65.75914657166443
2020-02-01 13:30:00+01:00,20.905085010335448,189.9949792410511,318.20747745698253,60.90242198078312,0.09375,0.9751493549031598,29.09060778445671
2020-02-01 14:00:00+01:00,19.800677546862154,197.54406325865324,297.1206320704545,58.9191921159491,0.171875,0.9462965369498361,48.32510120360614
2020-02-01 14:30:00+01:00,18.118354053632476,204.90624028338456,264.9305356137522,55.71298445987986,0.109375,0.9020266071664065,26.13782414408066
2020-02-01 15:00:00+01:00,15.902913206823815,212.0289116410696,222.57144875813597,51.083263050804135,0.140625,0.8431038457656223,26.388399994538986
2020-02-01 15:30:00+01:00,13.208584881090323,218.8831687509469,171.53794173504673,44.64878732271326,0.0625,0.7705518957675008,8.26118038749971
2020-02-01 16:00:00+01:00,10.096211255785402,225.46295826691215,114.38601913134772,35.69133971539031,0.109375,0.6856494576494283,8.578140372821874
2020-02-01 16:30:00+01:00,6.635211197887362,231.78189364056243,56.34918457976539,23.002007919424145,0.0,0.0,0.0
2020-02-01 17:00:00+01:00,2.931086827452907,237.86923124235176,10.905165916762627,6.697589942936487,0.0,0.0,0.0
2020-02-02 08:30:00+01:00,1.583514113476669,119.65949283524367,2.8293487749537656,2.0797652393335984,0.0,0.0,0.0
2020-02-02 09:00:00+01:00,5.341087548605671,125.66559459815147,37.674845710382925,17.3942542780673,0.0,0.0,0.0
2020-02-02 09:30:00+01:00,8.93385407942847,131.89018774180516,94.0688892478104,31.724082271541988,0.0859375,0.6488814531333182,5.24558697693219
2020-02-02 10:00:00+01:00,12.211158237256948,138.36823234941085,153.0226608499542,41.877642966000565,0.1015625,0.7384056282843404,11.475830643331841
2020-02-02 10:30:00+01:00,15.096711440539462,145.12063948255934,207.30876122912403,49.13026022218216,0.1015625,0.8161559745131408,17.183997598428753
2020-02-02 11:00:00+01:00,17.526870202118456,152.1501756086592,253.69526428207675,54.377314080333775,0.140625,0.8807467587037979,31.42143024116379
2020-02-02 11:30:00+01:00,19.444152839236292,159.437653672465,290.38507831225337,58.098942973792475,0.203125,0.9310495874900058,54.917465560724914
2020-02-02 12:00:00+01:00,20.799021542837867,166.93983924852637,316.26242957790174,60.54808283127787,0.203125,0.9661921867255898,62.06896483389484
2020-02-02 12:30:00+01:00,21.55369641898991,174.59063960225603,330.6382907346142,61.85560269645913,0.140625,0.9855668656202021,45.824926479375215
2020-02-02 13:00:00+01:00,21.686017004175877,182.30656442227624,333.1553405311876,62.080967666156766,0.1796875,0.9888385293469465,59.19568164393466
2020-02-02 13:30:00+01:00,21.192043183049684,189.9961036341498,323.7532262844914,61.23379815022486,0.1640625,0.9759495343172138,51.83830483552299
